region,school,graduates_2019,graduates_2014,median_debt,median_income,debt_to_earnings_ratio,white_pct,aian_pct,asian_pct,black_pct,hisp_pct,unkn_pct,two_plus_pct,men_pct,women_pct,graduates_2018,graduates_2017,graduates_2016,graduates_2015,inst_location,inst_type,inst_classification,inst_special_designations,int_pct_online,inst_undergrads,inst_undergrads_nondeg,inst_pell,inst_low_inc_pct,inst_undergrad_women_pct,inst_undergrad_nonwhite_pct,inst_grads,inst_tuition_instate,inst_tuition_outstate,inst_coa,inst_net_price,inst_net_price_30k,inst_floan_pct,inst_median_debt,inst_completion_rate,inst_econ_mobility_rate,inst_lowinc_to_highinc,inst_inc_6yr,inst_inc_10yr,inst_inc_10yr_grad
"New York-Newark-Jersey City, NY-NJ-PA","Ohr Hameir Theological Seminary",6,1,"Data Unavailable","Data Unavailable",Data Unavailable,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,22,26,2,2,"New York, Peekskill","Private, Non-profit","Data Unavailable","Men-Only College",0.000,89,"Data Unavailable",0.500,0.225,0.000,0.000,"Data Unavailable",12000,12000,"Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable",0.000,0.022,0.096,"Data Unavailable","Data Unavailable",30747
"New York-Newark-Jersey City, NY-NJ-PA","Orange County Community College",872,841,11000,26353,0.417,0.570,0.002,0.026,0.083,0.286,0.001,0.024,0.389,0.611,829,868,851,849,"New York, Middletown","Public","Two-year (public and private not-for-profit)","Hispanic-serving Institution",0.128,4615,1757,0.291,0.094,0.611,0.425,"Data Unavailable",5788,10972,10817,4660,1179,0.532,12000,0.097,0.016,0.171,38545,40951,37407
"New York-Newark-Jersey City, NY-NJ-PA","Orange Ulster BOCES-Practical Nursing Program",56,50,11880,39639,0.300,0.571,0.000,0.000,0.107,0.232,0.000,0.089,0.054,0.946,64,50,55,45,"New York, Goshen","Public","Data Unavailable","",0.000,73,"Data Unavailable",0.634,0.225,0.946,0.429,"Data Unavailable","Data Unavailable","Data Unavailable",25011,20098,20420,"Data Unavailable","Data Unavailable",0.667,0.022,0.096,45084,44586,30747
"New York-Newark-Jersey City, NY-NJ-PA","P C Age-Jersey City",141,93,12942,37808,0.342,0.227,0.000,0.113,0.270,0.333,0.000,0.057,0.872,0.128,101,92,93,117,"New Jersey, Jersey City","Private, For-profit","Data Unavailable","",0.000,217,"Data Unavailable",0.318,0.225,0.128,0.773,"Data Unavailable","Data Unavailable","Data Unavailable",19651,14630,14754,0.935,12950,0.630,0.022,0.096,48616,51401,30747
"New York-Newark-Jersey City, NY-NJ-PA","PC AGE-Metropark (Branch Campus)",91,28,12942,37808,0.342,0.242,0.000,0.220,0.264,0.231,0.011,0.033,0.879,0.121,71,57,21,30,"New Jersey, Iselin","Private, For-profit","Data Unavailable","",0.000,89,"Data Unavailable",0.228,0.225,0.121,0.747,"Data Unavailable","Data Unavailable","Data Unavailable",27162,22642,22562,0.935,12950,0.786,0.022,0.096,48616,51401,30747
"New York-Newark-Jersey City, NY-NJ-PA","Pace University",3443,3177,25416,54154,0.469,0.431,0.002,0.086,0.096,0.118,0.033,0.041,0.387,0.613,3384,3331,3235,3198,"New York, New York","Private, Non-profit","Selective private","",0.427,8233,295,0.278,0.152,0.613,0.344,4867,46446,46446,62268,29707,24687,0.921,24958,0.444,0.084,0.556,63185,65697,67377
"New York-Newark-Jersey City, NY-NJ-PA","Pacific College of Oriental Medicine-New York (Branch Campus)",167,150,108027,25426,4.249,0.365,0.000,0.263,0.078,0.108,0.102,0.066,0.305,0.695,127,135,119,122,"New York, New York","Private, For-profit","Data Unavailable","",0.182,184,48,0.181,0.225,0.695,0.521,426,10517,10517,29055,28032,27555,0.885,12271,"Data Unavailable",0.022,0.096,23177,33315,30747
"New York-Newark-Jersey City, NY-NJ-PA","Parisian Beauty School",294,246,7667,19572,0.392,0.245,0.003,0.037,0.092,0.473,0.109,0.024,0.075,0.925,306,217,234,233,"New Jersey, Hackensack","Private, For-profit","Data Unavailable","",0.000,464,"Data Unavailable",0.567,0.225,0.925,0.633,"Data Unavailable","Data Unavailable","Data Unavailable",32033,27430,25613,0.918,7667,0.037,0.022,0.096,24149,26494,30747
"New York-Newark-Jersey City, NY-NJ-PA","Passaic County Community College",1411,922,9496,22404,0.424,0.228,0.001,0.041,0.114,0.522,0.067,0.012,0.340,0.660,1318,1194,1266,1447,"New Jersey, Paterson","Public","Two-year (public and private not-for-profit)","Hispanic-serving Institution",0.184,5981,516,0.533,0.326,0.660,0.696,"Data Unavailable",5400,9390,14408,8514,8059,0.104,7874,0.029,0.029,0.090,27654,33301,27972
"New York-Newark-Jersey City, NY-NJ-PA","Paul Mitchell the School-Jersey Shore",63,104,11583,15590,0.743,0.778,0.000,0.016,0.063,0.143,0.000,0.000,0.063,0.937,77,113,135,114,"New Jersey, Brick","Private, For-profit","Data Unavailable","",0.000,70,"Data Unavailable",0.344,0.225,0.937,0.222,"Data Unavailable","Data Unavailable","Data Unavailable",30297,26085,26085,0.927,13000,0.135,0.022,0.096,"Data Unavailable","Data Unavailable",30747
"New York-Newark-Jersey City, NY-NJ-PA","Phillips School of Nursing at Mount Sinai Beth Israel",125,116,"Data Unavailable","Data Unavailable",Data Unavailable,0.424,0.000,0.168,0.224,0.168,0.000,0.000,0.200,0.800,61,104,96,109,"New York, New York","Private, Non-profit","Data Unavailable","",0.000,261,"Data Unavailable",0.236,0.225,0.800,0.576,"Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable",15375,"Data Unavailable",0.022,0.096,67080,97560,30747
"New York-Newark-Jersey City, NY-NJ-PA","Pillar College",102,26,28393,37856,0.750,0.098,0.000,0.000,0.539,0.343,0.000,0.010,0.324,0.676,103,52,42,42,"New Jersey, Newark","Private, Non-profit","Data Unavailable","Hispanic-serving Institution",0.035,332,162,0.518,0.225,0.676,0.892,110,22756,22756,35718,18562,17275,0.700,23250,0.035,0.022,0.096,37706,30497,30747
