region,school,graduates_2019,graduates_2014,median_debt,median_income,debt_to_earnings_ratio,white_pct,aian_pct,asian_pct,black_pct,hisp_pct,unkn_pct,two_plus_pct,men_pct,women_pct,graduates_2018,graduates_2017,graduates_2016,graduates_2015,inst_location,inst_type,inst_classification,inst_special_designations,int_pct_online,inst_undergrads,inst_undergrads_nondeg,inst_pell,inst_low_inc_pct,inst_undergrad_women_pct,inst_undergrad_nonwhite_pct,inst_grads,inst_tuition_instate,inst_tuition_outstate,inst_coa,inst_net_price,inst_net_price_30k,inst_floan_pct,inst_median_debt,inst_completion_rate,inst_econ_mobility_rate,inst_lowinc_to_highinc,inst_inc_6yr,inst_inc_10yr,inst_inc_10yr_grad
"Virginia Beach-Norfolk-Newport News, VA-NC","Centura College-Newport News (Branch Campus)",103,88,22000,20811,1.057,0.243,0.019,0.010,0.563,0.058,0.019,0.087,0.155,0.845,112,89,181,80,"Virginia, Newport News","Private, For-profit","Four-year for-profit","",0.000,179,"Data Unavailable",0.587,"Data Unavailable",0.845,0.738,"Data Unavailable",15887,15887,28836,24889,25007,0.834,14581,0.611,"Data Unavailable","Data Unavailable",19986,23143,"Data Unavailable"
"Virginia Beach-Norfolk-Newport News, VA-NC","Centura College-Norfolk (Branch Campus)",134,180,22000,21781,1.010,0.239,0.000,0.015,0.604,0.060,0.015,0.067,0.037,0.963,129,111,178,184,"Virginia, Norfolk","Private, For-profit","Four-year for-profit","",0.000,165,"Data Unavailable",0.717,"Data Unavailable",0.963,0.746,"Data Unavailable",16637,16637,27992,22427,21943,0.834,14581,0.723,"Data Unavailable","Data Unavailable",19986,23143,"Data Unavailable"
"Virginia Beach-Norfolk-Newport News, VA-NC","Centura College-Virginia Beach",80,161,22000,20811,1.057,0.350,0.013,0.000,0.463,0.063,0.013,0.075,0.212,0.787,103,109,121,154,"Virginia, Virginia Beach","Private, For-profit","Four-year for-profit","",0.000,107,"Data Unavailable",0.745,"Data Unavailable",0.788,0.637,"Data Unavailable",15887,15887,29787,25131,24943,0.834,14581,"Data Unavailable","Data Unavailable","Data Unavailable",19986,23143,"Data Unavailable"
"Virginia Beach-Norfolk-Newport News, VA-NC","Christopher Newport University",1202,1172,23846,36398,0.655,0.728,0.003,0.029,0.070,0.042,0.069,0.054,0.406,0.594,1284,1298,1329,1265,"Virginia, Newport News","Public","Selective public","",0.000,4826,11,0.139,0.050,0.594,0.199,82,14924,27790,30802,25596,16529,0.951,24739,0.681,0.011,0.218,37762,55027,45843
"Virginia Beach-Norfolk-Newport News, VA-NC","College of the Albemarle",592,430,"Data Unavailable",22130,Data Unavailable,0.711,0.000,0.020,0.115,0.051,0.015,0.025,0.414,0.586,525,522,426,479,"North Carolina, Elizabeth City","Public","Two-year (public and private not-for-profit)","",0.727,1376,1211,0.230,0.215,0.586,0.215,"Data Unavailable",2245,7451,11260,4705,4385,"Data Unavailable","Data Unavailable",0.185,0.005,0.021,22850,26072,23088
"Virginia Beach-Norfolk-Newport News, VA-NC","ECPI University",4244,3562,21992,40844,0.538,0.428,0.009,0.036,0.387,0.094,0.010,0.027,0.385,0.615,3881,3849,3881,3644,"Virginia, Virginia Beach","Private, For-profit","Four-year for-profit","",0.505,13005,137,0.536,0.191,0.615,0.562,345,16639,16639,26347,20489,19926,0.840,20000,0.327,0.020,0.106,36938,36822,33966
"Virginia Beach-Norfolk-Newport News, VA-NC","Eastern Shore Community College",131,148,"Data Unavailable",20140,Data Unavailable,0.519,0.000,0.015,0.298,0.122,0.000,0.031,0.374,0.626,108,100,114,133,"Virginia, Melfa","Public","Two-year (public and private not-for-profit)","",0.235,397,223,0.347,0.370,0.626,0.466,"Data Unavailable",4800,10803,11019,5901,5530,"Data Unavailable","Data Unavailable",0.076,0.026,0.069,26579,29114,26862
"Virginia Beach-Norfolk-Newport News, VA-NC","Eastern Virginia Medical School",339,281,58278,47963,1.215,0.602,0.006,0.142,0.159,0.012,0.041,0.038,0.310,0.690,280,295,264,253,"Virginia, Norfolk","Public","Data Unavailable","",0.182,"Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable",0.690,0.357,1275,"Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable"
"Virginia Beach-Norfolk-Newport News, VA-NC","Elizabeth City State University",242,547,25200,30771,0.819,0.207,0.012,0.008,0.686,0.021,0.050,0.012,0.417,0.583,263,277,327,443,"North Carolina, Elizabeth City","Public","Selective public","Historically Black Colleges and Universities",0.416,1623,69,0.647,0.321,0.583,0.744,77,3260,7260,11837,2350,1217,0.791,23000,0.183,0.039,0.121,32628,35274,34410
"Virginia Beach-Norfolk-Newport News, VA-NC","Empire Beauty School-Virginia Beach (Branch Campus)",44,62,13000,17631,0.737,0.227,0.023,0.000,0.568,0.023,0.091,0.068,0.000,1.000,49,60,49,75,"Virginia, Virginia Beach","Private, For-profit","Data Unavailable","",0.000,152,"Data Unavailable",0.682,0.225,1.000,0.682,"Data Unavailable","Data Unavailable","Data Unavailable",19977,15468,15106,0.857,13583,0.000,0.022,0.096,19086,24377,30747
"Virginia Beach-Norfolk-Newport News, VA-NC","Hampton University",882,926,26250,38289,0.686,0.053,0.006,0.008,0.893,0.018,0.000,0.000,0.291,0.709,842,850,902,925,"Virginia, Hampton","Private, Non-profit","Selective private","Historically Black Colleges and Universities",0.114,3705,9,0.359,0.080,0.709,0.925,579,28024,28024,42334,31307,29650,0.935,26000,0.409,0.021,0.269,48025,52372,50949
"Virginia Beach-Norfolk-Newport News, VA-NC","Luckes Beauty Academy LLC",9,8,"Data Unavailable","Data Unavailable",Data Unavailable,0.333,0.000,0.000,0.667,0.000,0.000,0.000,0.000,1.000,14,22,12,6,"Virginia, Newport  News","Private, For-profit","Data Unavailable","",0.000,35,"Data Unavailable",0.446,"Data Unavailable",1.000,0.667,"Data Unavailable","Data Unavailable","Data Unavailable",12506,10474,10474,"Data Unavailable","Data Unavailable",0.667,"Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable"
"Virginia Beach-Norfolk-Newport News, VA-NC","Mid-Atlantic Christian University",47,18,22625,28598,0.791,0.766,0.000,0.000,0.181,0.000,0.000,0.032,0.511,0.489,48,34,53,37,"North Carolina, Elizabeth City","Private, Non-profit","Data Unavailable","",0.318,187,11,0.571,0.225,0.489,0.213,"Data Unavailable",15810,15810,29053,20557,20351,0.919,26875,0.151,0.022,0.096,"Data Unavailable",33581,30747
"Virginia Beach-Norfolk-Newport News, VA-NC","Norfolk State University",802,1132,41432,45604,0.909,0.056,0.004,0.017,0.820,0.035,0.027,0.037,0.302,0.698,956,1080,1172,1201,"Virginia, Norfolk","Public","Selective public","Historically Black Colleges and Universities",0.655,5083,29,0.655,0.206,0.698,0.914,489,9622,20790,24430,12645,11277,0.921,30500,0.197,0.034,0.167,36438,39696,38184
"Virginia Beach-Norfolk-Newport News, VA-NC","Old Dominion University",5398,5266,25000,39369,0.635,0.528,0.004,0.048,0.221,0.070,0.028,0.052,0.401,0.599,5343,5405,5421,5356,"Virginia, Norfolk","Public","Selective public","",0.543,18965,211,0.392,0.085,0.599,0.399,4499,10680,30840,24935,16493,12017,0.869,24697,0.294,0.024,0.280,44908,49678,49173
"Virginia Beach-Norfolk-Newport News, VA-NC","Paul D Camp Community College",293,301,6500,56234,0.116,0.536,0.003,0.010,0.375,0.024,0.003,0.048,0.249,0.751,235,352,283,296,"Virginia, Franklin","Public","Two-year (public and private not-for-profit)","",0.544,666,591,0.300,0.246,0.751,0.461,"Data Unavailable",4730,10733,9574,5377,3601,0.352,6700,0.232,0.012,0.051,26674,28026,28860
"Virginia Beach-Norfolk-Newport News, VA-NC","Rappahannock Community College",964,640,"Data Unavailable",10367,Data Unavailable,0.688,0.013,0.013,0.184,0.041,0.022,0.035,0.334,0.666,849,842,659,646,"Virginia, Glenns","Public","Two-year (public and private not-for-profit)","",0.472,1424,1485,0.242,0.172,0.666,0.290,"Data Unavailable",4820,10823,12369,7204,6749,"Data Unavailable","Data Unavailable",0.197,0.015,0.088,26947,31543,31968
"Virginia Beach-Norfolk-Newport News, VA-NC","Regent University",2155,1451,39667,42682,0.929,0.536,0.004,0.039,0.266,0.073,0.034,0.039,0.357,0.643,1963,1866,1575,1435,"Virginia, Virginia Beach","Private, Non-profit","Data Unavailable","",0.917,4121,287,0.538,0.225,0.643,0.424,5957,18620,18620,28997,15267,15584,0.842,24313,0.432,0.022,0.096,36987,41712,30747
"Virginia Beach-Norfolk-Newport News, VA-NC","Riverside College of Health Careers",167,175,16750,43426,0.386,0.659,0.012,0.024,0.162,0.042,0.030,0.072,0.096,0.904,173,120,139,145,"Virginia, Newport News","Private, Non-profit","Data Unavailable","",0.118,305,"Data Unavailable",0.213,0.225,0.904,0.311,"Data Unavailable",17610,17610,22250,16435,16435,"Data Unavailable",14534,0.500,0.022,0.096,48702,53302,30747
"Virginia Beach-Norfolk-Newport News, VA-NC","Sentara College of Health Sciences",185,140,18250,63240,0.289,0.757,0.000,0.086,0.059,0.038,0.011,0.038,0.092,0.908,203,223,140,165,"Virginia, Chesapeake","Private, Non-profit","Data Unavailable","",1.000,321,"Data Unavailable",0.293,0.225,0.908,0.232,49,"Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable",0.949,19399,"Data Unavailable",0.022,0.096,63310,60654,30747
"Virginia Beach-Norfolk-Newport News, VA-NC","South University-Virginia Beach (Branch Campus)",144,106,41000,41333,0.992,0.375,0.014,0.056,0.417,0.111,0.021,0.000,0.215,0.785,156,223,161,174,"Virginia, Virginia Beach","Private, For-profit","Four-year for-profit","",0.503,311,1,0.604,0.270,0.785,0.604,82,17014,17014,31065,20395,20866,0.826,25379,0.167,0.014,0.052,25747,36710,25197
"Virginia Beach-Norfolk-Newport News, VA-NC","Suffolk Beauty Academy",5,19,"Data Unavailable","Data Unavailable",Data Unavailable,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.200,0.800,6,11,14,21,"Virginia, Suffolk","Private, For-profit","Data Unavailable","",0.000,15,"Data Unavailable",0.552,0.225,0.800,1.000,"Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable",0.783,"Data Unavailable",0.500,0.022,0.096,16752,16174,30747
"Virginia Beach-Norfolk-Newport News, VA-NC","The Art Institute of Virginia Beach (Branch Campus)",106,138,37203,25452,1.462,0.396,0.066,0.000,0.387,0.123,0.009,0.000,0.425,0.575,109,134,133,109,"Virginia, Virginia Beach","Private, For-profit","Data Unavailable","",0.000,243,5,0.684,0.225,0.575,0.594,"Data Unavailable",19354,19354,29917,23561,22137,0.872,30750,0.444,0.022,0.096,28569,34110,30747
"Virginia Beach-Norfolk-Newport News, VA-NC","The Chrysm Institute of Esthetics",125,61,6333,20687,0.306,0.496,0.016,0.024,0.272,0.064,0.000,0.128,0.000,1.000,109,98,88,75,"Virginia, Virginia Beach","Private, For-profit","Data Unavailable","",0.000,166,"Data Unavailable",0.538,0.225,1.000,0.504,"Data Unavailable","Data Unavailable","Data Unavailable",18523,16261,15452,0.778,6333,0.000,0.022,0.096,"Data Unavailable","Data Unavailable",30747
"Virginia Beach-Norfolk-Newport News, VA-NC","Thomas Nelson Community College",1545,1594,9100,26063,0.349,0.525,0.003,0.046,0.271,0.087,0.006,0.060,0.392,0.608,1621,1523,1610,1685,"Virginia, Hampton","Public","Two-year (public and private not-for-profit)","",0.431,5605,1709,0.342,0.139,0.608,0.467,"Data Unavailable",4806,10809,11659,7092,5696,0.408,9500,0.120,0.011,0.080,29000,33484,30525
"Virginia Beach-Norfolk-Newport News, VA-NC","Tidewater Community College",4370,4075,7414,26353,0.281,0.516,0.005,0.040,0.284,0.079,0.012,0.055,0.441,0.559,4362,4092,4138,4252,"Virginia, Norfolk","Public","Two-year (public and private not-for-profit)","",0.456,15801,3263,0.381,0.148,0.559,0.468,"Data Unavailable",5561,11564,13169,8408,6721,0.446,9800,0.117,0.016,0.106,28950,35053,32079
"Virginia Beach-Norfolk-Newport News, VA-NC","Tidewater Tech-Trades",405,350,9500,29685,0.320,0.202,0.015,0.017,0.588,0.059,0.054,0.054,0.928,0.072,370,324,360,330,"Virginia, Norfolk","Private, For-profit","Four-year for-profit","",0.000,420,"Data Unavailable",0.617,"Data Unavailable",0.072,0.743,"Data Unavailable",15401,15401,26410,21260,20404,0.795,9500,0.680,"Data Unavailable","Data Unavailable",29819,28345,"Data Unavailable"
"Virginia Beach-Norfolk-Newport News, VA-NC","Tomorrow's Image Barber And Beauty Academy of Virginia",21,12,10036,"Data Unavailable",Data Unavailable,0.000,0.000,0.000,0.857,0.143,0.000,0.000,0.714,0.286,8,22,21,12,"Virginia, Newport News","Private, For-profit","Data Unavailable","",0.000,20,"Data Unavailable",0.773,0.225,0.286,1.000,"Data Unavailable","Data Unavailable","Data Unavailable",18202,11237,11116,0.612,10036,0.500,0.022,0.096,"Data Unavailable","Data Unavailable",30747
"Virginia Beach-Norfolk-Newport News, VA-NC","Virginia Beach City Public Schools School of Practical Nursing",12,12,"Data Unavailable","Data Unavailable",Data Unavailable,0.750,0.000,0.000,0.167,0.083,0.000,0.000,0.000,1.000,12,15,15,12,"Virginia, Virginia Beach","Public","Data Unavailable","",0.000,32,28,0.200,0.225,1.000,0.250,"Data Unavailable","Data Unavailable","Data Unavailable",6179,2150,1812,"Data Unavailable","Data Unavailable",0.857,0.022,0.096,"Data Unavailable","Data Unavailable",30747
"Virginia Beach-Norfolk-Newport News, VA-NC","Virginia Beach Theological Seminary",7,0,"Data Unavailable","Data Unavailable",Data Unavailable,0.714,0.000,0.000,0.286,0.000,0.000,0.000,0.857,0.143,9,7,6,10,"Virginia, Virginia Beach","Private, Non-profit","Data Unavailable","",0.429,0,"Data Unavailable","Data Unavailable","Data Unavailable",0.143,0.286,28,"Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable"
"Virginia Beach-Norfolk-Newport News, VA-NC","Virginia Wesleyan University",293,240,27000,30771,0.877,0.520,0.010,0.021,0.246,0.065,0.085,0.043,0.306,0.694,312,310,345,333,"Virginia, Virginia Beach","Private, Non-profit","Selective private","",0.139,1321,66,0.410,0.081,0.694,0.391,100,36860,36860,50040,23425,20816,0.941,27000,0.434,0.013,0.158,40545,43579,44844
"Virginia Beach-Norfolk-Newport News, VA-NC","Wave Leadership College",10,0,"Data Unavailable","Data Unavailable",Data Unavailable,0.700,0.000,0.100,0.200,0.000,0.000,0.000,0.600,0.400,14,22,14,14,"Virginia, Virginia Beach","Private, Non-profit","Data Unavailable","",0.000,55,12,0.422,"Data Unavailable",0.400,0.300,"Data Unavailable",7490,7490,14552,12358,8457,"Data Unavailable","Data Unavailable",0.429,"Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable"
"Virginia Beach-Norfolk-Newport News, VA-NC","William & Mary",2701,2400,19456,41441,0.469,0.599,0.001,0.064,0.068,0.073,0.050,0.041,0.450,0.550,2613,2526,2460,2472,"Virginia, Williamsburg","Public","Other elite schools (public and private)","",0.049,6240,16,0.118,0.013,0.550,0.247,2517,23628,46854,39221,19800,4711,0.831,19022,0.850,0.005,0.389,50331,64723,66378
"Visalia-Porterville, CA","Advanced Career Institute",769,366,6137,34118,0.180,0.313,0.001,0.023,0.064,0.585,0.007,0.001,0.935,0.065,527,440,386,408,"California, Visalia","Private, For-profit","Data Unavailable","",0.000,637,"Data Unavailable",0.391,0.225,0.065,0.680,"Data Unavailable","Data Unavailable","Data Unavailable",19394,15979,15264,0.863,6201,0.600,0.022,0.096,"Data Unavailable","Data Unavailable",30747
"Visalia-Porterville, CA","College of the Sequoias",3011,1808,10367,20388,0.508,0.220,0.006,0.046,0.015,0.679,0.003,0.030,0.398,0.602,2397,1712,1966,1733,"California, Visalia","Public","Two-year (public and private not-for-profit)","Hispanic-serving Institution",0.290,10912,1903,0.405,0.218,0.602,0.775,"Data Unavailable",1390,7830,8688,1116,590,0.035,5625,0.090,0.025,0.116,28539,33538,30525
"Visalia-Porterville, CA","Estes Institute of Cosmetology Arts and Science",41,49,"Data Unavailable","Data Unavailable",Data Unavailable,0.195,0.024,0.024,0.000,0.659,0.049,0.049,0.098,0.902,43,47,47,61,"California, Visalia","Private, For-profit","Data Unavailable","",0.000,53,"Data Unavailable",0.453,0.225,0.902,0.756,"Data Unavailable","Data Unavailable","Data Unavailable",14177,8910,8457,0.789,7875,0.278,0.022,0.096,25698,21245,30747
"Visalia-Porterville, CA","Milan Institute-Visalia",212,295,8082,23555,0.343,0.137,0.014,0.033,0.028,0.755,0.000,0.033,0.071,0.929,276,364,305,384,"California, Visalia","Private, For-profit","Less than two-year schools of any type","",0.000,395,"Data Unavailable",0.622,0.274,0.929,0.863,"Data Unavailable","Data Unavailable","Data Unavailable",26315,24179,24078,0.834,7917,0.286,0.018,0.064,26337,28023,22311
"Visalia-Porterville, CA","Porterville College",986,401,"Data Unavailable","Data Unavailable",Data Unavailable,0.170,0.009,0.027,0.001,0.758,0.001,0.031,0.412,0.588,727,613,561,494,"California, Porterville","Public","Two-year (public and private not-for-profit)","Hispanic-serving Institution",0.380,3645,705,0.475,0.178,0.588,0.829,"Data Unavailable",1414,8284,10878,3192,2603,"Data Unavailable","Data Unavailable",0.115,0.028,0.156,25937,31638,33300
"Visalia-Porterville, CA","San Joaquin Valley College-Visalia",3686,2969,9500,23813,0.399,0.225,0.008,0.055,0.063,0.569,0.019,0.048,0.312,0.688,3350,3181,3241,2848,"California, Visalia","Private, For-profit","Two-year for-profit","",0.211,6400,221,0.564,0.348,0.688,0.755,"Data Unavailable","Data Unavailable","Data Unavailable",30110,26415,25718,0.873,10673,"Data Unavailable",0.028,0.079,29515,33954,23865
"Waco, TX","Baylor University",4775,3891,24841,43674,0.569,0.656,0.003,0.053,0.058,0.134,0.009,0.046,0.424,0.576,4701,4403,4251,3986,"Texas, Waco","Private, Non-profit","Highly selective private","",0.102,13948,160,0.187,0.040,0.576,0.295,3925,47364,47364,62913,36039,26726,0.915,23550,0.630,0.014,0.342,52402,60512,55833
"Waco, TX","Hill College",780,718,11000,27254,0.404,0.644,0.005,0.005,0.045,0.133,0.015,0.140,0.468,0.532,656,693,801,545,"Texas, Hillsboro","Public","Two-year (public and private not-for-profit)","",0.501,2578,2022,0.235,0.171,0.532,0.329,"Data Unavailable",2382,3382,13212,8182,6951,0.520,10500,0.140,0.025,0.147,28406,35649,32634
"Waco, TX","McLennan Community College",1838,1185,10067,28935,0.348,0.499,0.006,0.018,0.103,0.306,0.006,0.061,0.306,0.694,1747,1798,1632,1455,"Texas, Waco","Public","Two-year (public and private not-for-profit)","Hispanic-serving Institution",0.444,6495,2210,0.391,0.189,0.694,0.495,"Data Unavailable",3450,3990,13142,6752,5970,0.519,10761,0.086,0.018,0.094,28064,35523,31524
"Waco, TX","Navarro College",1489,2077,11000,24481,0.449,0.608,0.007,0.009,0.128,0.208,0.006,0.019,0.406,0.594,1545,1433,1362,1388,"Texas, Corsicana","Public","Two-year (public and private not-for-profit)","",0.462,8173,"Data Unavailable",0.301,0.184,0.594,0.372,"Data Unavailable",2742,6222,16629,14349,13770,0.609,11000,0.151,0.018,0.098,29548,35615,34299
"Waco, TX","Southern Careers Institute-Waco (Branch Campus)",0,0,"Data Unavailable","Data Unavailable",Data Unavailable,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,"Texas, Waco","Private, For-profit","Less than two-year schools of any type","",0.000,68,"Data Unavailable",0.732,0.471,"Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable",23747,20844,20659,"Data Unavailable",8708,"Data Unavailable",0.035,0.075,"Data Unavailable","Data Unavailable",18981
"Waco, TX","Texas State Technical College",3517,0,7328,36627,0.200,0.428,0.004,0.011,0.053,0.460,0.032,0.010,0.754,0.246,3383,3074,2926,2963,"Texas, Waco","Public","Two-year (public and private not-for-profit)","Hispanic-serving Institution",0.266,8397,2323,0.448,0.191,0.246,0.539,"Data Unavailable",5877,10191,17279,10114,8535,0.603,9500,0.261,0.029,0.151,28758,35542,37629
"Walla Walla, WA","Walla Walla Community College",1291,2007,9618,21964,0.438,0.660,0.009,0.012,0.046,0.168,0.046,0.046,0.514,0.486,1590,1441,1923,2057,"Washington, Walla Walla","Public","Two-year (public and private not-for-profit)","",0.321,2331,1340,0.305,0.125,0.486,0.289,"Data Unavailable",4700,6200,12579,5835,4056,0.528,12877,"Data Unavailable",0.012,0.099,31335,37179,33411
"Walla Walla, WA","Walla Walla University",472,434,27000,43798,0.616,0.738,0.008,0.071,0.035,0.126,0.015,0.000,0.414,0.586,442,449,466,453,"Washington, College Place","Private, Non-profit","Selective private","",0.120,1597,53,0.280,0.061,0.586,0.245,181,28881,28881,37626,20571,15369,0.946,26746,0.288,0.012,0.200,51427,53236,43290
"Walla Walla, WA","Whitman College",356,431,16746,25194,0.665,0.731,0.003,0.056,0.011,0.044,0.023,0.079,0.390,0.610,395,385,387,389,"Washington, Walla Walla","Private, Non-profit","Other elite schools (public and private)","",0.000,1545,34,0.115,0.027,0.610,0.195,"Data Unavailable",53820,53820,68082,38672,22616,0.934,17300,0.803,0.009,0.328,"Data Unavailable",59340,53835
"Walworth County","University of Wisconsin-Whitewater",3134,2709,23579,41193,0.572,0.810,0.003,0.021,0.031,0.064,0.002,0.055,0.462,0.538,2816,2781,2774,2721,"Wisconsin, Whitewater","Public","Highly selective public","",0.379,10410,614,0.274,0.040,0.538,0.174,1428,7695,16416,18109,15249,11868,0.918,23223,0.361,0.009,0.221,41018,49599,48840
"Walworth County","Wright Graduate University for the Realization of Human Potential",40,0,"Data Unavailable",47394,Data Unavailable,0.625,0.000,0.050,0.125,0.000,0.200,0.000,0.325,0.675,43,43,50,46,"Wisconsin, Elkhorn","Private, Non-profit","Data Unavailable","",0.000,"Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable",0.675,0.175,19,"Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable"
"Warner Robins, GA","Central Georgia Technical College",5515,4207,6243,27729,0.225,0.472,0.003,0.010,0.449,0.044,0.006,0.013,0.415,0.585,4880,5043,4617,4009,"Georgia, Warner Robins","Public","Two-year (public and private not-for-profit)","Predominantly Black Institution",0.509,6044,2200,0.467,0.362,0.585,0.519,"Data Unavailable",3042,5442,8567,1954,1017,0.476,10317,0.219,0.009,0.026,24948,28947,19869
"Washington, Morgan, Noble & Monroe Counties","Marietta College",243,373,27000,47260,0.571,0.711,0.000,0.012,0.021,0.031,0.029,0.016,0.557,0.443,312,347,312,335,"Ohio, Marietta","Private, Non-profit","Selective private","",0.000,1067,74,0.253,0.048,0.443,0.080,76,36040,36040,49676,20786,17208,0.952,27000,0.519,0.017,0.346,39933,48155,51948
"Washington, Morgan, Noble & Monroe Counties","Washington County Career Center-Adult Technical Training",276,298,"Data Unavailable",20921,Data Unavailable,0.935,0.004,0.007,0.014,0.011,0.000,0.025,0.551,0.449,249,260,249,283,"Ohio, Marietta","Public","Data Unavailable","",0.000,201,8,0.319,0.225,0.449,0.065,"Data Unavailable","Data Unavailable","Data Unavailable",13377,8810,8920,"Data Unavailable","Data Unavailable",0.657,0.022,0.096,32274,26062,30747
"Washington, Morgan, Noble & Monroe Counties","Washington State Community College",381,331,16886,30305,0.557,0.953,0.005,0.000,0.013,0.008,0.010,0.010,0.354,0.646,381,417,457,397,"Ohio, Marietta","Public","Two-year (public and private not-for-profit)","",0.394,943,961,0.290,0.154,0.646,0.037,"Data Unavailable",3878,3902,11308,7688,5542,0.690,11411,0.182,0.014,0.090,27746,31976,27306
"Washington-Arlington-Alexandria, DC-VA-MD-WV","American Massage & Bodywork Institute",87,0,7389,"Data Unavailable",Data Unavailable,0.264,0.000,0.080,0.264,0.161,0.172,0.046,0.276,0.724,69,0,0,0,"Virginia, Vienna","Private, For-profit","Data Unavailable","",0.000,120,"Data Unavailable",0.327,"Data Unavailable",0.724,0.563,"Data Unavailable","Data Unavailable","Data Unavailable",22985,21138,19887,"Data Unavailable",7389,"Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable"
"Washington-Arlington-Alexandria, DC-VA-MD-WV","American University",3997,3524,26491,52607,0.504,0.497,0.003,0.071,0.100,0.106,0.076,0.037,0.370,0.630,3740,3634,3633,3541,"District of Columbia, Washington","Private, Non-profit","Highly selective private","",0.197,7659,868,0.158,0.035,0.630,0.318,5791,49889,49889,66022,43451,28432,0.950,23250,0.752,0.013,0.364,56580,71933,65601
"Washington-Arlington-Alexandria, DC-VA-MD-WV","Avi Career Training",37,13,6333,27642,0.229,0.432,0.000,0.108,0.243,0.216,0.000,0.000,0.000,1.000,58,29,28,22,"Virginia, Great Falls","Private, For-profit","Data Unavailable","",0.000,23,"Data Unavailable",0.395,"Data Unavailable",1.000,0.568,"Data Unavailable","Data Unavailable","Data Unavailable",20057,16482,16482,"Data Unavailable","Data Unavailable",0.070,"Data Unavailable","Data Unavailable","Data Unavailable",26905,"Data Unavailable"
"Washington-Arlington-Alexandria, DC-VA-MD-WV","Aviation Institute of Maintenance-Manassas",63,41,30416,39369,0.773,0.175,0.000,0.032,0.413,0.175,0.063,0.143,0.937,0.063,43,64,45,38,"Virginia, Manassas","Private, For-profit","Data Unavailable","",0.000,207,"Data Unavailable",0.590,0.225,0.063,0.762,"Data Unavailable",16757,16757,28909,24403,23742,0.858,32500,0.652,0.022,0.096,38045,45379,30747
"Washington-Arlington-Alexandria, DC-VA-MD-WV","Bennett Career Institute",73,96,7511,21703,0.346,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.192,0.808,66,57,71,79,"District of Columbia, Washington","Private, For-profit","Data Unavailable","",0.000,293,"Data Unavailable",0.425,0.225,0.808,1.000,"Data Unavailable","Data Unavailable","Data Unavailable",13008,9591,8902,0.709,6333,0.273,0.022,0.096,16836,20758,30747
"Washington-Arlington-Alexandria, DC-VA-MD-WV","Bowie State University",1119,1027,24199,40089,0.604,0.038,0.000,0.016,0.785,0.041,0.021,0.042,0.341,0.659,1065,1072,1242,1149,"Maryland, Bowie","Public","Highly selective public","Historically Black Colleges and Universities",0.319,5085,142,0.508,0.076,0.659,0.884,944,8444,19136,22338,15934,11527,0.842,23000,0.162,0.022,0.293,43962,49154,59385
"Washington-Arlington-Alexandria, DC-VA-MD-WV","CET-Alexandria (Branch Campus)",84,112,6125,34806,0.176,0.060,0.000,0.298,0.500,0.143,0.000,0.000,0.952,0.048,92,130,127,95,"Virginia, Alexandria","Private, Non-profit","Less than two-year schools of any type","",0.000,103,"Data Unavailable",0.491,0.428,0.048,0.940,"Data Unavailable","Data Unavailable","Data Unavailable",23306,18609,18064,0.690,6650,0.069,0.012,0.028,26946,26847,18093
"Washington-Arlington-Alexandria, DC-VA-MD-WV","Capitol Technology University",198,219,"Data Unavailable","Data Unavailable",Data Unavailable,0.545,0.000,0.051,0.222,0.061,0.056,0.056,0.803,0.197,172,189,217,246,"Maryland, Laurel","Private, Non-profit","Data Unavailable","",0.886,391,9,0.362,0.225,0.197,0.389,340,26308,26308,37079,23992,13794,0.817,22000,0.365,0.022,0.096,85633,57992,30747
